movie_title,release_date,genre,MPAA_rating,directors,animated,revenue
Night Crossing,5-Feb-82,Drama,PG,Delbert Mann,NO,"$12,903,059 "
Lilo & Stitch,21-Jun-02,Adventure,PG,Chris Sanders,Yes,"$211,506,702 "
Metro,17-Jan-97,Action,R,Thomas Carter,NO,"$58,804,106 "
National Treasure,19-Nov-04,Adventure,PG,Jon Turteltaub,NO,"$234,069,353 "
Shanghai Noon,26-May-00,Western,PG-13,Tom Dey,NO,"$89,042,541 "
Dangerous Minds,11-Aug-95,Drama,R,John N. Smith,NO,"$164,552,293 "
The Distinguished Gentleman,4-Dec-92,Comedy,R,Jonathan Lynn,NO,"$94,349,900 "
The Secret World of Arietty,17-Feb-12,Adventure,G,Unknown,Yes,"$20,325,733 "
The Princess Diaries,3-Aug-01,Comedy,G,Garry Marshall,NO,"$161,218,928 "
Step Up 3D,6-Aug-10,Drama,PG-13,Jon M. Chu,NO,"$45,302,137 "
Underdog,3-Aug-07,Adventure,PG,Jon Erwin,NO,"$53,619,462 "
Red Rock West,28-Jan-94,Crime,R,John Dahl,NO,"$5,170,709 "
Captain America: Civil War,6-May-16,Action,PG-13,Anthony Russo,NO,"$408,084,349 "
Mr. Wrong,16-Feb-96,Romantic Comedy,PG-13,Nick Castle,NO,"$24,422,334 "
Nixon,20-Dec-95,Drama,R,Oliver Stone,NO,"$26,302,005 "
The Ref,9-Mar-94,Comedy,R,Ted Demme,NO,"$23,401,275 "
The Santa Clause 3: The Escape Clause,3-Nov-06,Comedy,G,Michael Lembeck,NO,"$108,694,869 "
Ice Princess,18-Mar-05,Comedy,G,Tim Fywell,NO,"$32,064,685 "
King Arthur,7-Jul-04,Adventure,PG-13,Antoine Fuqua,NO,"$70,423,706 "
Nothing To Lose,18-Jul-97,Comedy,R,Steve Oedekerk,NO,"$81,692,095 "
Herbie: Fully Loaded,22-Jun-05,Comedy,G,Angela Robinson,NO,"$86,812,798 "
Father of the Bride,20-Dec-91,Comedy,PG,Charles Shyer,NO,"$179,821,881 "
You Again,24-Sep-10,Comedy,PG,Andy Fickman,NO,"$27,461,121 "
Treasure Planet,27-Nov-02,Adventure,PG,Ron Clements,Yes,"$55,189,145 "
The Great Mouse Detective,2-Jul-86,Adventure,G,Ron Clements,Yes,"$53,637,367 "
Cinderella,13-Mar-15,Drama,PG,Wilfred Jackson,NO,"$201,151,353 "
Frozen,22-Nov-13,Adventure,PG,Chris Buck,Yes,"$414,997,174 "
Pirates of the Caribbean: On Stranger…,20-May-11,Adventure,PG-13,Rob Marshall,NO,"$256,263,359 "
Zokkomon,22-Apr-11,Adventure,PG,Satyajit Bhatkal,NO,"$2,984 "
Gross Anatomy,20-Oct-89,Drama,PG-13,Thom Eberhardt,NO,"$23,972,012 "
The Incredibles,5-Nov-04,Adventure,PG,Brad Bird,Yes,"$354,488,708 "
Frank McKlusky C.I.,1-Jan-02,Action,PG-13,Arlene Sanford,NO,$0 
Taking Care of Business,17-Aug-90,Comedy,R,Arthur Hiller,NO,"$39,963,460 "
Tim Burton's The Nightmare Before Chr…,20-Oct-06,Musical,PG,Henry Selick,NO,"$30,737,517 "
Cocktail,29-Jul-88,Drama,R,Roger Donaldson,NO,"$160,442,289 "
Gun Shy,4-Feb-00,Comedy,R,Simon West,NO,"$2,562,155 "
Mr. Destiny,12-Oct-90,Comedy,PG-13,James Orr,NO,"$30,722,056 "
Herbie Goes to Monte Carlo,24-Jun-77,Romance,G,Vincent McEveety,NO,"$105,847,527 "
Evita,25-Dec-96,Musical,PG,Alan Parker,NO,"$92,077,628 "
Dark Water,8-Jul-05,Thriller/Suspense,PG-13,Walter Salles,NO,"$33,500,491 "
Piglet's Big Movie,21-Mar-03,Comedy,G,Francis Glebas,Yes,"$32,298,812 "
Kazaam,17-Jul-96,Comedy,PG,Paul Michael Glaser,NO,"$36,009,655 "
Déjà Vu,22-Nov-06,Thriller/Suspense,PG-13,Tony Scott,NO,"$82,267,038 "
Waking Sleeping Beauty,26-Mar-10,Documentary,PG,Don Hahn,NO,"$86,264 "
The Count of Monte Cristo,25-Jan-02,Drama,PG-13,Kevin Reynolds,NO,"$78,682,079 "
The Program,24-Sep-93,Action,R,Stephen Frears,NO,"$46,919,256 "
When in Rome,29-Jan-10,Romantic Comedy,PG-13,Mark Steven Johnson,NO,"$34,917,330 "
Born Yesterday,26-Mar-93,Romantic Comedy,PG,George Cukor,NO,"$36,165,012 "
The Alamo,9-Apr-04,Western,PG-13,John Lee Hancock,NO,"$30,416,359 "
Mad Love,26-May-95,Drama,PG-13,Antonia Bird,NO,"$29,934,306 "
Armageddon,1-Jul-98,Adventure,PG-13,Michael Bay,NO,"$362,324,957 "
Air Bud,1-Aug-97,Comedy,PG,Charles Martin Smith,NO,"$45,266,588 "
Fire Birds,24-May-90,Action,PG-13,David Green,NO,"$29,485,923 "
The Black Cauldron,24-Jul-85,Adventure,PG,Ted Berman,Yes,"$50,553,142 "
Oz the Great and Powerful,8-Mar-13,Adventure,PG,Sam Raimi,NO,"$243,434,130 "
Two Much,15-Mar-96,Romantic Comedy,PG-13,Fernando Trueba,NO,"$2,057,055 "
102 Dalmatians,22-Nov-00,Comedy,G,Kevin Lima,NO,"$104,055,039 "
The Pacifier,4-Mar-05,Comedy,PG,Adam Shankman,NO,"$148,619,029 "
Prom,29-Apr-11,Comedy,PG,Paul Lynch,NO,"$10,768,946 "
Un indien dans la ville,22-Mar-96,Comedy,PG,Hervé Palud,NO,"$1,963,937 "
Annapolis,27-Jan-06,Drama,PG-13,Justin Lin,NO,"$22,044,113 "
The Country Bears,26-Jul-02,Adventure,G,Peter Hastings,NO,"$24,650,121 "
Planes: Fire and Rescue,18-Jul-14,Adventure,PG,Roberts Gannaway,Yes,"$61,040,349 "
Tin Men,6-Mar-87,Comedy,R,Barry Levinson,NO,"$54,787,202 "
Renaissance Man,3-Jun-94,Comedy,PG-13,Penny Marshall,NO,"$49,945,474 "
Playing God,17-Oct-97,Thriller/Suspense,R,Andy Wilson,NO,"$7,652,965 "
Phenomenon,5-Jul-96,Drama,PG,Jon Turteltaub,NO,"$199,559,799 "
Gnomeo and Juliet,11-Feb-11,Comedy,G,Kelly Asbury,Yes,"$106,270,797 "
The Color of Money,17-Oct-86,Drama,R,Martin Scorsese,NO,"$117,957,323 "
Blackbeard's Ghost,8-Feb-68,Comedy,G,Robert Stevenson,NO,"$138,612,686 "
Ernest Scared Stupid,11-Oct-91,Comedy,PG,John R. Cherry III,NO,"$28,320,147 "
The Emperor's New Groove,15-Dec-00,Adventure,G,Mark Dindal,Yes,"$136,789,252 "
Double Take,12-Jan-01,Action,PG-13,George Gallo,NO,"$44,418,589 "
Rocket Man,10-Oct-97,Comedy,PG,Oscar Rudolph,NO,"$28,371,890 "
Mulan,19-Jun-98,Adventure,G,Barry Cook,NO,"$216,807,832 "
Song of the South,12-Nov-46,Adventure,G,Wilfred Jackson,Yes,"$1,078,510,579 "
The Black Hole,21-Dec-79,Adventure,PG,Gary Nelson,NO,"$120,377,374 "
Raising Helen,28-May-04,Comedy,PG-13,Garry Marshall,NO,"$50,886,144 "
A Gun in Betty Lou's Handbag,21-Aug-92,Comedy,PG-13,Allan Moyle,NO,"$7,295,423 "
The Air Up There,7-Jan-94,Comedy,PG,Paul Michael Glaser,NO,"$42,940,186 "
Roommates,3-Mar-95,Comedy,PG,Peter Yates,NO,"$23,404,369 "
Morning Light,17-Oct-08,Documentary,PG,Mark Monroe,NO,"$322,979 "
Valiant,19-Aug-05,Adventure,G,Gary Chapman,Yes,"$25,616,292 "
Down and Out in Beverly Hills,31-Jan-86,Comedy,R,Paul Mazursky,NO,"$141,183,693 "
Tarzan,16-Jun-99,Adventure,G,Chris Buck,NO,"$283,900,254 "
The Royal Tenenbaums,14-Dec-01,Black Comedy,R,Wes Anderson,NO,"$76,758,193 "
James and the Giant Peach,12-Apr-96,Adventure,PG,Henry Selick,Yes,"$55,159,783 "
"Mystery, Alaska",1-Oct-99,Comedy,R,Jay Roach,NO,"$14,755,189 "
Last Dance,3-May-96,Drama,R,Thomas Carter,NO,"$11,171,714 "
My Science Project,9-Aug-85,Comedy,PG,Jonathan R. Betuel,NO,"$9,736,051 "
Homeward Bound II: Lost in San Franc…,8-Mar-96,Adventure,G,David R. Ellis,NO,"$62,384,706 "
The Muppets,23-Nov-11,Comedy,PG,James Bobin,NO,"$94,189,503 "
Turner & Hooch,28-Jul-89,Comedy,PG,Roger Spottiswoode,NO,"$150,176,361 "
Oceans,22-Apr-10,Documentary,G,Gary Ross,NO,"$20,751,600 "
It's Pat,26-Aug-94,Comedy,PG-13,Adam Bernstein,NO,"$125,666 "
The Finest Hours,29-Jan-16,Thriller/Suspense,PG,Craig Gillespie,NO,"$27,569,558 "
Shoot to Kill,12-Feb-88,Action,R,Roger Spottiswoode,NO,"$60,097,074 "
Hannah Montana the Movie,10-Apr-09,Drama,G,Peter Chelsom,NO,"$89,443,640 "
First Kid,30-Aug-96,Comedy,PG,David M. Evans,NO,"$50,465,108 "
Consenting Adults,16-Oct-92,Drama,R,Alan J. Pakula,NO,"$43,859,823 "
Dan in Real Life,20-Oct-07,Romantic Comedy,PG-13,Peter Hedges,NO,"$58,350,234 "
Sorority Boys,22-Mar-02,Comedy,R,Wallace Wolodarsky,NO,"$14,797,862 "
Simon Birch,11-Sep-98,Drama,PG,Mark Steven Johnson,NO,"$32,809,442 "
In the Army Now,12-Aug-94,Comedy,PG,Daniel Petrie Jr.,NO,"$59,673,787 "
Bad Company,7-Jun-02,Action,PG-13,Joel Schumacher,NO,"$43,756,218 "
Wreck-It Ralph,2-Nov-12,Adventure,PG,Rich Moore,Yes,"$200,354,959 "
Iron Man 3,3-May-13,Action,PG-13,Shane Black,NO,"$424,084,233 "
Cinderella,15-Feb-50,Drama,G,Wilfred Jackson,NO,"$920,608,730 "
One Magic Christmas,22-Nov-85,Drama,G,Phillip Borsos,NO,"$31,415,432 "
Beverly Hills Chihuahua,3-Oct-08,Comedy,PG,Raja Gosnell,NO,"$110,932,022 "
WALL-E,27-Jun-08,Adventure,G,Andrew Stanton,Yes,"$262,771,918 "
Aladdin,11-Nov-92,Comedy,G,Ron Clements,NO,"$441,969,178 "
Casanova,25-Dec-05,Drama,R,Lasse Hallström,NO,"$14,574,087 "
Thor: The Dark World,8-Nov-13,Adventure,PG-13,Alan Taylor,NO,"$213,962,184 "
Monkey Kingdom,17-Apr-15,Documentary,G,Alastair Fothergill,NO,"$16,432,322 "
Ernest Saves Christmas,11-Nov-88,Comedy,PG,John R. Cherry III,NO,"$57,845,202 "
Hannah Montana/Miley Cyrus: Best of B…,1-Feb-08,Concert/Performance,G,Unknown,NO,"$76,646,993 "
Saving Mr. Banks,13-Dec-13,Drama,PG-13,John Lee Hancock,NO,"$86,249,969 "
The Aristocats,24-Apr-70,Musical,G,Wolfgang Reitherman,Yes,"$255,161,499 "
Calendar Girls,19-Dec-03,Comedy,PG-13,Nigel Cole,NO,"$42,379,650 "
Unstrung Heroes,15-Sep-95,Drama,PG,Diane Keaton,NO,"$15,365,850 "
Three Fugitives,27-Jan-89,Comedy,PG-13,Francis Veber,NO,"$85,757,817 "
Tomorrowland,22-May-15,Adventure,PG,Brad Bird,NO,"$93,436,322 "
The Village,30-Jul-04,Thriller/Suspense,PG-13,M. Night Shyamalan,NO,"$155,021,748 "
"Alexander and the Terrible, Horrible,…",10-Oct-14,Comedy,PG,Miguel Arteta,NO,"$69,055,550 "
Arachnophobia,18-Jul-90,Thriller/Suspense,PG-13,Frank Marshall,NO,"$106,290,270 "
Lincoln,9-Nov-12,Drama,PG-13,Timur Bekmambetov,NO,"$192,122,330 "
The Horse Whisperer,15-May-98,Drama,PG-13,Robert Redford,NO,"$135,497,531 "
Muppets Most Wanted,21-Mar-14,Comedy,PG,James Bobin,NO,"$52,807,594 "
Fantasia 2000 (IMAX),1-Jan-00,Musical,G,Unknown,Yes,"$94,852,354 "
Spaced Invaders,27-Apr-90,Comedy,PG,Patrick Read Johnson,NO,"$29,964,452 "
Just Visiting,6-Apr-01,Comedy,PG-13,Jean-Marie Poiré,NO,"$7,114,869 "
Holes,18-Apr-03,Drama,PG,Andrew Davis,NO,"$94,203,395 "
The Last Shot,24-Sep-04,Comedy,R,Jeff Nathanson,NO,"$629,502 "
The Jungle Book,18-Oct-67,Musical,Not Rated,Wolfgang Reitherman,NO,"$789,612,346 "
Meet the Robinsons,30-Mar-07,Adventure,G,Stephen J. Anderson,Yes,"$119,860,589 "
Dead Poets Society,2-Jun-89,Drama,PG,Peter Weir,NO,"$202,531,517 "
Avengers: Age of Ultron,1-May-15,Action,PG-13,Joss Whedon,NO,"$459,005,868 "
Man of the House,3-Mar-95,Comedy,PG,Stephen Herek,NO,"$77,573,459 "
Bears,18-Apr-14,Documentary,G,Daniel Chong,NO,"$18,346,024 "
Passed Away,24-Apr-92,Comedy,PG-13,Charlie Peters,NO,"$8,187,848 "
ESPN's Ultimate X - The Movie,10-May-02,Documentary,PG,Unknown,NO,"$6,089,874 "
Atlantis: The Lost Empire,8-Jun-01,Adventure,PG,Gary Trousdale,Yes,"$125,188,122 "
Ernest Goes to Camp,22-May-87,Comedy,PG,John R. Cherry III,NO,"$50,686,462 "
Teacher's Pet: The Movie,16-Jan-04,Comedy,PG,Unknown,Yes,"$8,812,764 "
Spy Hard,24-May-96,Comedy,PG-13,Rick Friedberg,NO,"$51,373,912 "
Snow Dogs,18-Jan-02,Comedy,PG,Brian Levant,NO,"$117,745,317 "
Frankenweenie,5-Oct-12,Comedy,PG,Tim Burton,Yes,"$37,363,513 "
Tuck Everlasting,11-Oct-02,Drama,PG,Jay Russell,NO,"$27,789,959 "
Hauru no ugoku shiro,10-Jun-05,Adventure,PG,Hayao Miyazaki,Yes,"$6,194,870 "
Gedo Senki (Tales from Earthsea),13-Aug-10,Adventure,PG-13,Unknown,Yes,"$51,988 "
Return to Oz,21-Jun-85,Adventure,G,Walter Murch,NO,"$25,215,934 "
Disney's A Christmas Carol,6-Nov-09,Drama,PG,Robert Zemeckis,Yes,"$154,927,105 "
Prefontaine,24-Jan-97,Drama,PG-13,Steve James,NO,"$1,085,093 "
Beaches,21-Dec-88,Drama,PG-13,Garry Marshall,NO,"$120,381,757 "
101 Dalmatians,25-Jan-61,Comedy,G,Stephen Herek,NO,"$1,362,870,985 "
The Last Song,31-Mar-10,Drama,PG,Julie Anne Robinson,NO,"$67,258,772 "
Father Hood,27-Aug-93,Action,PG-13,Darrell James Roodt,NO,"$6,654,819 "
Encino Man,22-May-09,Family,PG,Les Mayfield,NO,"$40,000,000 "
Sweet Home Alabama,27-Sep-02,Comedy,PG-13,Andy Tennant,NO,"$184,521,151 "
Play it to the Bone,24-Dec-99,Comedy,R,Ron Shelton,NO,"$13,180,524 "
The Odd Life of Timothy Green,15-Aug-12,Drama,PG,Peter Hedges,NO,"$54,914,942 "
Honey I Blew Up the Kid,17-Jul-92,Comedy,PG,Randal Kleiser,NO,"$119,162,518 "
Hercules,13-Jun-97,Adventure,G,Ron Clements,Yes,"$182,029,412 "
